method,method_d,method_cat,round,time
Submission,Strikes,Striking,1,00:00
KO,Punch,Punch,1,00:07
KO,Punches,Punch,1,00:07
KO,Punches,Punch,1,00:07
KO,Punch,Punch,1,00:08
KO,Punches,Punch,1,00:08
KO,Superman Punch,Punch,1,00:08
TKO,Flying Knee and Punches,Striking,1,00:08
KO,Punch,Punch,1,00:09
Submission,Guillotine Choke,Choke,1,00:09
KO,Punch,Punch,1,00:10
KO,Punches,Punch,1,00:11
NC,Accidental Eye Poke,Accident,1,00:11
TKO,Punch,Punch,1,00:11
KO,Punch,Punch,1,00:12
KO,Punches,Punch,1,00:12
KO,Elbows,Elbow,1,00:13
KO,Punch,Punch,1,00:13
KO,Punches,Punch,1,00:13
KO,Punches,Punch,1,00:14
KO,Punches,Punch,1,00:14
Submission,Armbar,Lock,1,00:14
Submission,Heel Hook,Lock,1,00:14
Submission,Straight Armbar,Lock,1,00:14
KO,Punch,Punch,1,00:15
KO,Punch,Punch,1,00:15
KO,Punches,Punch,1,00:16
Submission,Armbar,Lock,1,00:16
TKO,Punches,Punch,1,00:16
KO,Knee,Knee,1,00:17
KO,Punches,Punch,1,00:17
KO,Punches,Punch,1,00:17
Submission,Guillotine Choke,Choke,1,00:17
TKO,Punch,Punch,1,00:17
KO,Punches,Punch,1,00:18
TKO,Punches,Punch,1,00:18
KO,Punches,Punch,1,00:19
TKO,Punches,Punch,1,00:19
KO,Punch,Punch,1,00:20
KO,Punch,Punch,1,00:20
KO,Punches,Punch,1,00:20
KO,Punches,Punch,1,00:20
Submission,Guillotine Choke,Choke,1,00:20
Submission,Achilles Lock,Lock,1,00:20
Submission,Armbar,Lock,1,00:20
KO,Punch,Punch,1,00:21
KO,Punches,Punch,1,00:21
KO,Punches,Punch,1,00:21
KO,Slam,Striking,1,00:21
TKO,Punches,Punch,1,00:21
TKO,Knee to the Body and Punches,Striking,1,00:21
KO,Elbows,Elbow,1,00:22
KO,Slam,Striking,1,00:22
TKO,Punches,Punch,1,00:22
KO,Punches,Punch,1,00:23
Submission,Achilles Lock,Lock,1,00:23
KO,Punches,Punch,1,00:24
DQ,Knee to Head of Grounded Fighter,Illegal,1,00:25
KO,Punches,Punch,1,00:25
TKO,Head Kick and Punches,Striking,1,00:25
TKO,Head Kick,Kick,1,00:26
TKO,Knees,Knee,1,00:26
KO,Punches,Punch,1,00:27
Submission,Guillotine Choke,Choke,1,00:27
KO,Punches,Punch,1,00:28
TKO,Punches,Punch,1,00:28
TKO,Punches,Punch,1,00:28
TKO,Strikes,Striking,1,00:28
DQ,Punches to Back of Head,Illegal,1,00:29
KO,Head Kick,Kick,1,00:29
KO,Punches,Punch,1,00:29
TKO,Punches,Punch,1,00:29
KO,Elbows,Elbow,1,00:30
KO,Punch,Punch,1,00:30
KO,Punches,Punch,1,00:30
KO,Punches,Punch,1,00:30
TKO,Punches,Punch,1,00:30
KO,Punch to the Body,Punch,1,00:31
KO,Knee and Punches,Striking,1,00:31
Submission,Guillotine Choke,Choke,1,00:31
Submission,Heel Hook,Lock,1,00:31
TKO,Punches,Punch,1,00:31
KO,Slam,Striking,1,00:32
KO,Punch,Punch,1,00:33
KO,Punch,Punch,1,00:33
TKO,Punches,Punch,1,00:33
TKO,Punches,Punch,1,00:33
KO,Punch,Punch,1,00:34
KO,Punches,Punch,1,00:34
KO,Punches,Punch,1,00:35
TKO,Punches,Punch,1,00:35
KO,Punches,Punch,1,00:36
KO,Punches,Punch,1,00:36
TKO,Punches,Punch,1,00:36
TKO,Punches,Punch,1,00:36
TKO,Punches,Punch,1,00:37
Submission,Rear-Naked Choke,Choke,1,00:38
TKO,Punch,Punch,1,00:38
KO,Punches,Punch,1,00:39
NC,Accidental Clash of Heads,Accident,1,00:39
NC,Overturned by NSBA,Illegal,1,00:39
Submission,Crucifix Choke,Choke,1,00:39
Submission,Guillotine Choke,Choke,1,00:39
TKO,Punches,Punch,1,00:39
KO,Head Kick,Kick,1,00:40
TKO,Punches,Punch,1,00:40
TKO,Doctor Stoppage - Broken Nose,Stoppage,1,00:40
TKO,Knees and Punches,Striking,1,00:40
KO,Punches,Punch,1,00:41
KO,Punches,Punch,1,00:41
Submission,Armbar,Lock,1,00:41
TKO,Punches,Punch,1,00:41
KO,Punch,Punch,1,00:42
TKO,Punch,Punch,1,00:42
KO,Punches,Punch,1,00:43
KO,Punches,Punch,1,00:43
Submission,Punch,Punch,1,00:43
TKO,Punches,Punch,1,00:43
TKO,Punches,Punch,1,00:43
TKO,Punches,Punch,1,00:43
KO,Punch,Punch,1,00:44
KO,Punches,Punch,1,00:44
KO,Punches,Punch,1,00:44
Submission,Rear-Naked Choke,Choke,1,00:44
Submission,Triangle Choke,Choke,1,00:44
TKO,Ankle Injury,Injury,1,00:44
TKO,Arm Injury,Injury,1,00:44
TKO,Punch,Punch,1,00:44
TKO,Punches,Punch,1,00:44
TKO,Punches,Punch,1,00:44
Submission,Choke,Choke,1,00:45
Submission,Rear-Naked Choke,Choke,1,00:45
Submission,Heel Hook,Lock,1,00:45
TKO,Punches,Punch,1,00:45
TKO,Punches,Punch,1,00:45
KO,Punch,Punch,1,00:46
KO,Punch,Punch,1,00:46
Submission,Inside Shoulder Lock,Lock,1,00:46
Submission,Toe Hold,Lock,1,00:46
KO,Punches,Punch,1,00:47
Submission,Guillotine Choke,Choke,1,00:47
Submission,Rear-Naked Choke,Choke,1,00:47
Submission,Achilles Lock,Lock,1,00:47
TKO,Punches,Punch,1,00:47
TKO,Rib Injury,Stoppage,1,00:47
KO,Punch,Punch,1,00:48
Submission,Guillotine Choke,Choke,1,00:48
Submission,Rear-Naked Choke,Choke,1,00:48
TKO,Punches,Punch,1,00:48
TKO,Punches,Punch,1,00:48
TKO,Punches,Punch,1,00:48
TKO,Cut,Stoppage,1,00:48
TKO,Doctor Stoppage,Stoppage,1,00:48
TKO,Strikes,Striking,1,00:48
KO,Knee,Knee,1,00:49
TKO,Punches,Punch,1,00:49
TKO,Cut,Stoppage,1,00:49
KO,Punches,Punch,1,00:50
KO,Punches,Punch,1,00:50
KO,Punches,Punch,1,00:50
Submission,Guillotine Choke,Choke,1,00:50
Submission,Punches,Punch,1,00:50
KO,Flying Knee,Knee,1,00:51
KO,Punch,Punch,1,00:51
KO,Punches,Punch,1,00:51
KO,Punches,Punch,1,00:52
Submission,Rear Naked Choke,Choke,1,00:52
Submission,Rear-Naked Choke,Choke,1,00:52
Submission,Triangle Choke,Choke,1,00:52
TKO,Punches,Punch,1,00:52
Submission,Guillotine Choke,Choke,1,00:53
Submission,Rear-Naked Choke,Choke,1,00:53
TKO,Kick to the Body and Punches,Striking,1,00:53
TKO,Knee and Punches,Striking,1,00:53
KO,Punches,Punch,1,00:54
Submission,Guillotine Choke,Choke,1,00:54
TKO,Punches,Punch,1,00:54
TKO,Punches,Punch,1,00:54
TKO,Punches,Punch,1,00:54
Submission,Armbar,Lock,1,00:55
Submission,Armbar,Lock,1,00:55
KO,Punches,Punch,1,00:56
KO,Punches,Punch,1,00:56
Submission,Rear-Naked Choke,Choke,1,00:56
TKO,Punches,Punch,1,00:56
Submission,Front Choke,Choke,1,00:57
Submission,Guillotine Choke,Choke,1,00:57
Submission,Rear-Naked Choke,Choke,1,00:57
TKO,Neck Injury,Stoppage,1,00:57
TKO,Elbows and Punches,Striking,1,00:57
Submission,Guillotine Choke,Choke,1,00:58
Submission,Guillotine Choke,Choke,1,00:58
